Tx_x,Tx_y,Tx_z,Rx_x,Rx_y,Rx_z,Distance,Angle,Frequency_GHz,LOS_Flag,Path_loss,3GPP_Path_Loss
447.6221966946498,-292.2917482629926,25.0,384.4383804134916,231.24391408263625,1.6650751988175267,527.8506446931787,2.533725370053168,0.9,0,96.49657249450684,120.81452951069886
256.7559029658669,125.5490528602179,25.0,357.60973172876527,-512.906131941004,17.828247522739055,646.4115962831216,0.6356933902742764,5.8,1,102.33306884765624,103.79457071718528
-343.2421745499538,117.48822337984824,25.0,-236.5166170175092,-550.1263408982954,22.01516037734796,676.0979665214796,0.2529504256992256,2.6,1,95.26844024658205,99.67223504335338
571.7444590481605,-349.17941097615994,25.0,349.5752238513684,-543.4946144588163,20.42307164588821,295.19233669862155,0.8884010642386865,0.9,1,78.60015869140625,87.37320375889145
447.547607077634,71.67435368176132,25.0,511.7447270286475,-358.1495737318826,14.441285508308674,434.71986984610135,1.3917681643235242,5.8,0,inf,120.07482770027484
-53.03521097604494,-298.57045456623433,25.0,252.66449588061505,30.75397985432403,18.238458809569902,449.39137988833113,0.8621046354436458,0.9,0,inf,118.01399298063212
-172.67640581342255,47.646015341838506,25.0,-397.5004622786503,-406.21448843007806,14.659258874680942,506.5986026200612,1.1696083869985976,5.8,1,100.17744064331056,113.0090795377768
-556.4782349852524,131.72073918672515,25.0,-122.2243997232327,-376.3334622261342,11.473940090304014,668.4896553498133,1.159388227407166,2.6,0,100.0637912750244,122.34878566915532
221.98032980908727,-32.18665536991,25.0,199.51225421119568,538.4014889435557,14.655169327709254,571.124032390334,1.0378613376277774,5.8,0,130.13654708862305,129.1383596993776
-423.4941520382192,367.1710967349276,25.0,-73.53222150359443,262.9197476437553,8.30142872808528,365.5414325262928,2.618282496367144,5.8,0,133.7646770477295,132.56699144146577
-94.18988896193169,177.096949589548,25.0,-242.8052919647178,-516.0149112608497,10.91174205721451,709.0056901556178,1.1385675174682568,2.6,0,153.9255428314209,128.14660439782529
360.6298635169886,-205.6200876334774,25.0,-488.57024036677,-30.205137339285105,5.054217745798703,867.3575130548144,1.3176918075282025,5.8,0,119.12650108337402,148.64653580262026
-563.691689556459,158.14784129818372,25.0,-215.54343998652664,-526.1489284452867,10.560642812083575,767.904790840607,1.077429124351058,5.8,0,122.27306365966795,141.31994260264054
117.87834815258157,477.55578499758417,25.0,114.35893028958368,-429.3592413892413,3.263118437697255,907.1823099070904,1.3729883865870038,0.9,0,100.18939018249512,132.25207488559604
-278.8707836556196,-88.43529750912461,25.0,337.99286240235426,549.1279980377828,17.638269225435614,887.165096662717,0.4754480825104436,5.8,0,117.51952171325684,128.6414651197295
152.21664160360126,230.31808603976697,25.0,-6.16010614953359,-593.1185845275758,17.467455744411815,838.5629874295985,0.514676661729753,0.9,0,116.91726684570312,126.10193875115012
520.5101265279172,-215.84538424494465,25.0,-122.38590424257444,-368.9385664495289,17.65432601529566,660.9136008165278,0.6368226983551963,2.6,0,127.61959075927734,122.19043845417632
395.3646353068074,-36.6208444310422,25.0,529.0888742022537,-519.7311699222623,15.620976469601612,501.3638646200809,1.0718957825555813,2.6,1,94.4228458404541,94.2943050300808
-365.12779501536926,-191.29468523808504,25.0,546.9355768030769,-171.62396453136853,11.746524451538052,912.3717367828028,0.8323306073981663,0.9,0,135.506591796875,120.93444800275144
-527.4569220703428,570.3938422500657,25.0,-439.0139992454901,-300.27241277564224,18.79386831130825,875.1687804697054,0.4063080643454731,0.9,1,87.23533630371094,89.59909369108954
